date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:04	193263/193263	---M--	200	added ('OK')	image/jpeg	etag:CKCv8pSG6esCEAE=	https://images.squarespace-cdn.com/content/5f0087fc0414060b9b15c82d/1600100307447-BGTWUTBUH9TWG49CLKAG/social_share.jpg?content-type=image%2Fjpeg	C:/ranil%20and%20sam%20website/bang%20bang/test/images.squarespace-cdn.com/content/5f0087fc0414060b9b15c82d/1600100307447-BGTWUTBUH9TWG49CLKAG/social_shareee8a.jpg	(from https://www.fortworthbarbershop.com/)
13:42:06	206005/206005	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jun%202024%2005:42:06%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1716308142457-NTLQBPORVVYGYH5NWZVQ/static.css	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1716308142457-NTLQBPORVVYGYH5NWZVQ/static.css	(from https://www.fortworthbarbershop.com/)
13:42:10	1301095/1301095	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jun%202024%2005:42:05%20GMT	https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css	(from https://www.fortworthbarbershop.com/)
13:42:11	84256/84256	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2005:42:09%20GMT	https://www.fortworthbarbershop.com/cart	C:/ranil%20and%20sam%20website/bang%20bang/test/www.fortworthbarbershop.com/cart.html	(from https://www.fortworthbarbershop.com/)
13:42:12	118406/118406	---M-Z	200	added ('OK')	text/html	etag:W/%2234b5e645b20c5f47c7fc1a171d0de258--gzip%22	https://www.fortworthbarbershop.com/services	C:/ranil%20and%20sam%20website/bang%20bang/test/www.fortworthbarbershop.com/services.html	(from https://www.fortworthbarbershop.com/)
13:42:14	103387/103387	---MCZ	200	added ('OK')	text/html	etag:W/%228be3facf22c4451d5af38725481788ad--gzip%22	https://www.fortworthbarbershop.com/about	C:/ranil%20and%20sam%20website/bang%20bang/test/www.fortworthbarbershop.com/about.html	(from https://www.fortworthbarbershop.com/)
13:42:15	122563/122563	---MCZ	200	added ('OK')	text/html	etag:W/%2223f52d0da1c6679c3eaa9fe1c1c8fe2a--gzip%22	https://www.fortworthbarbershop.com/contact	C:/ranil%20and%20sam%20website/bang%20bang/test/www.fortworthbarbershop.com/contact.html	(from https://www.fortworthbarbershop.com/)
13:42:17	14376/14376	---M--	200	added ('OK')	image/png	etag:CPuIktmG6esCEAE=	http://images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1600100451072-TIFXK7L9R0EF8S8YEGXE/FWBS_logo.png?format=1500w	C:/ranil%20and%20sam%20website/bang%20bang/test/images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1600100451072-TIFXK7L9R0EF8S8YEGXE/FWBS_logo26f7.png	(from https://www.fortworthbarbershop.com/)
13:42:18	14376/14376	---M--	200	added ('OK')	image/png	etag:COaU9MaG6esCEAE=	http://images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1600100414162-EOQACJ51FNBHUFZQZMXN/FWBS_logo.png?format=1500w	C:/ranil%20and%20sam%20website/bang%20bang/test/images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1600100414162-EOQACJ51FNBHUFZQZMXN/FWBS_logo26f7.png	(from https://www.fortworthbarbershop.com/)
13:42:22	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2004%20Jun%202024%2005:42:20%20UTC	https://www.fortworthbarbershop.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fopen.spotify.com%2Fembed%2Fplaylist%2F1MVygY2E4W49aa4skx90fa%3Futm_source%3Doembed&display_name=Spotify&url=https%3A%2F%2Fopen.spotify.com%2Fplaylist%2F1MVygY2E4W49aa4skx90fa&image=https%3A%2F%2Fmosaic.scdn.co%2F300%2Fab67616d00001e02537ebc1940f248ab6f1b42f3ab67616d00001e025873884696b33b0ab343fb69ab67616d00001e027324c499774ceada8f334820ab67616d00001e02f0bf2299b256e52965a93cb0&key=61d05c9d54e8455ea7a9677c366be814&type=text%2Fhtml&schema=spotify\%22	C:/ranil%20and%20sam%20website/bang%20bang/test/www.fortworthbarbershop.com/_/cdn.embedly.com/widgets/media.15fdb2.delayed	(from https://www.fortworthbarbershop.com/)
13:42:26	676533/676533	---M-Z	200	added ('OK')	text/javascript	etag:%228f6931b7dc63ecca33c59993af25f8a2%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-180eaab5800ec79fc33e-min.en-US.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/scripts-compressed/common-vendors-180eaab5800ec79fc33e-min.en-US.js	(from https://www.fortworthbarbershop.com/)
13:42:30	15243/15243	---M--	200	added ('OK')	image/png	etag:CKDMzPndiusCEAE=	https://images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1594137978242-O9YO0X7U11QYXVBDH2DZ/Divider.png	C:/ranil%20and%20sam%20website/bang%20bang/test/images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1594137978242-O9YO0X7U11QYXVBDH2DZ/Divider.png	(from https://www.fortworthbarbershop.com/)
13:42:35	14376/14376	---M--	200	added ('OK')	image/png	etag:CJrUr+7diusCEAE=	https://images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1594136261119-KO9ZDU39IITEEOZOGFBQ/FWBS_logo.png	C:/ranil%20and%20sam%20website/bang%20bang/test/images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/1594136261119-KO9ZDU39IITEEOZOGFBQ/FWBS_logo.png	(from https://www.fortworthbarbershop.com/)
13:42:48	263499/263499	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jun%202024%2005:42:36%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.fdb3342ec883d35bb41feb2170752cde.js	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.fdb3342ec883d35bb41feb2170752cde.js	(from https://www.fortworthbarbershop.com/)
13:42:59	280467/280467	---M--	200	added ('OK')	image/jpeg	etag:CPnQv7+O1/0CEAE=	https://images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/0fc3fc19-906a-46ce-a0de-71985ac1e116/KH-FWBarberShop-2A8A9967.jpg	C:/ranil%20and%20sam%20website/bang%20bang/test/images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/0fc3fc19-906a-46ce-a0de-71985ac1e116/KH-FWBarberShop-2A8A9967.jpg	(from https://www.fortworthbarbershop.com/)
13:43:05	364956/364956	---M--	200	added ('OK')	image/jpeg	etag:CLjqo+KN1/0CEAE=	https://images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/8e80efa6-312b-4cb4-b33e-251a16e9d81e/KH-FWBarberShop-2A8A9959.jpg	C:/ranil%20and%20sam%20website/bang%20bang/test/images.squarespace-cdn.com/content/v1/5f0087fc0414060b9b15c82d/8e80efa6-312b-4cb4-b33e-251a16e9d81e/KH-FWBarberShop-2A8A9959.jpg	(from https://www.fortworthbarbershop.com/)
13:43:05	1638743/1638743	---M-Z	200	added ('OK')	text/javascript	etag:%22377a0405e666cbe685455083068b5392%22	http://assets.squarespace.com/universal/scripts-compressed/common-d6ebec74d8dd4515b804-min.en-US.js	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/scripts-compressed/common-d6ebec74d8dd4515b804-min.en-US.js	(from https://www.fortworthbarbershop.com/)
13:43:06	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:06	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:06	1219/1219	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:07	2909/2909	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:07	2968/2968	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:07	3097/3097	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:07	3051/3051	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:56%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:07	3420/3420	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:11%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:08	1042/1042	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:08	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:10%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:08	1057/1057	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:02%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:08	1048/1048	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:09	3072/3072	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:09	3374/3374	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:09	3010/3010	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:06%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:09	3216/3216	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:10	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2017%20May%204643%2004:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.2a.delayed	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:10	561/561	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	https://assets.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:10	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2017%20May%204643%2004:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:10	1672/1672	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	https://assets.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:10	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2017%20May%204643%2004:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:11	2320/2320	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:02%20GMT	https://assets.squarespace.com/universal/images-v6/icons/opentable-icons.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/icons/opentable-icons.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:11	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2017%20May%204643%2004:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:11	361/361	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	https://assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:11	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2017%20May%204643%2004:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:11	3034/3034	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	https://assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:12	365/365	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:12	176/176	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/standard/icon_close_7_light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/standard/icon_close_7_light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
13:43:12	3058/3058	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:59%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-settings-16-light.png	C:/ranil%20and%20sam%20website/bang%20bang/test/assets.squarespace.com/universal/images-v6/icons/icon-settings-16-light.png	(from https://static1.squarespace.com/static/versioned-site-css/5f0087fc0414060b9b15c82d/55/5c5a519771c10ba3470d8101/5f0087fc0414060b9b15c847/1528/site.css)
